InvoiceNo,Stockcode,Description,Initialstock,Quantity,InvoiceDate,UnitPrice,RetailPrice,CustomerID,Country
536544,21486,PINK HEART DOTS HOT WATER BOTTLE,41,1,12/13/2020,4.21,6.64,Visiting,United Kingdom
536520,21486,PINK HEART DOTS HOT WATER BOTTLE,41,1,12/13/2020,3.75,5.99,14729,United Kingdom
536576,82615,PINK MARSHMALLOW SCARF KNITTING KIT,228,36,12/13/2020,2.55,4.3,13777,United Kingdom
536557,46000,POLYESTER FILLER PAD 45x30cm,234,2,12/13/2020,1.45,2.75,17841,United Kingdom
536500,46000,POLYESTER FILLER PAD 45x45cm,1758,10,12/13/2020,1.55,2.89,17377,United Kingdom
536544,85135,RED DRAGONFLY HELICOPTER,321,1,12/13/2020,8.47,12.65,Visiting,United Kingdom
536592,21488,RED WHITE SCARF  HOT WATER BOTTLE,116,1,12/13/2020,8.47,12.65,Visiting,United Kingdom
536591,21488,RED WHITE SCARF  HOT WATER BOTTLE,116,1,12/13/2020,3.95,6.27,14606,United Kingdom
536500,21488,RED WHITE SCARF  HOT WATER BOTTLE,116,2,12/13/2020,3.95,6.27,17377,United Kingdom
536544,21488,RED WHITE SCARF  HOT WATER BOTTLE,116,1,12/13/2020,8.47,12.65,Visiting,United Kingdom
536592,22081,RIBBON REEL FLORA + FAUNA ,678,2,12/13/2020,3.36,5.44,Visiting,United Kingdom
536591,22081,RIBBON REEL FLORA + FAUNA ,678,1,12/13/2020,1.65,3.03,14606,United Kingdom
536544,22081,RIBBON REEL FLORA + FAUNA ,678,1,12/13/2020,3.36,5.44,Visiting,United Kingdom
536530,21664,RIDGED GLASS STORAGE JAR CREAM LID,165,2,12/13/2020,3.75,5.99,17905,United Kingdom
536522,21664,RIDGED GLASS STORAGE JAR CREAM LID,165,1,12/13/2020,3.75,5.99,15012,United Kingdom
536522,21664,RIDGED GLASS STORAGE JAR CREAM LID,165,2,12/13/2020,3.75,5.99,15012,United Kingdom
536544,21115,ROSE CARAVAN DOORSTOP,675,1,12/13/2020,14.43,21.05,Visiting,United Kingdom
536388,21115,ROSE CARAVAN DOORSTOP,675,4,12/13/2020,6.75,10.22,16250,United Kingdom
536592,21272,SALLE DE BAIN HOOK,788,1,12/13/2020,2.51,4.24,Visiting,United Kingdom
536488,21577,SAVE THE PLANET COTTON TOTE BAG,986,1,12/13/2020,2.25,3.88,17897,United Kingdom
536595,21577,SAVE THE PLANET COTTON TOTE BAG,986,1,12/13/2020,2.25,3.88,13576,United Kingdom
536544,21577,SAVE THE PLANET COTTON TOTE BAG,986,2,12/13/2020,5.06,7.84,Visiting,United Kingdom
536569,22641,SET OF 4 NAPKIN CHARMS INSTRUMENT,306,2,12/13/2020,2.55,4.3,16274,United Kingdom
536464,22619,SET OF 6 SOLDIER SKITTLES,2779,1,12/13/2020,3.75,5.99,17968,United Kingdom
536446,22619,SET OF 6 SOLDIER SKITTLES,2779,8,12/13/2020,3.75,5.99,15983,United Kingdom
536392,22619,SET OF 6 SOLDIER SKITTLES,2779,4,12/13/2020,3.75,5.99,13705,United Kingdom
536423,22619,SET OF 6 SOLDIER SKITTLES,2779,4,12/13/2020,3.75,5.99,18085,United Kingdom
536477,22619,SET OF 6 SOLDIER SKITTLES,2779,4,12/13/2020,3.75,5.99,16210,United Kingdom
536408,22619,SET OF 6 SOLDIER SKITTLES,2779,4,12/13/2020,3.75,5.99,14307,United Kingdom
536592,22619,SET OF 6 SOLDIER SKITTLES,2779,1,12/13/2020,7.62,11.45,Visiting,United Kingdom
536544,90018,SILVER M.O.P ORBIT DROP EARRINGS,254,1,12/13/2020,4.24,6.68,Visiting,United Kingdom
536587,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,12,12/13/2020,1.25,2.47,14142,United Kingdom
536562,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,12,12/13/2020,1.25,2.47,13468,United Kingdom
536398,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,12,12/13/2020,1.25,2.47,13448,United Kingdom
536577,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,144,12/13/2020,1.25,2.47,13777,United Kingdom
536575,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,144,12/13/2020,1.25,2.47,13777,United Kingdom
536579,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,216,12/13/2020,1.06,2.2,13777,United Kingdom
536592,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,5,12/13/2020,2.51,4.24,Visiting,United Kingdom
536544,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,4,12/13/2020,2.51,4.24,Visiting,United Kingdom
536557,22795,SWEETHEART RECIPE BOOK STAND,1275,2,12/13/2020,6.75,10.22,17841,United Kingdom
536592,22795,SWEETHEART RECIPE BOOK STAND,1275,3,12/13/2020,13.57,19.84,Visiting,United Kingdom
536590,22794,SWEETHEART WIRE MAGAZINE RACK,464,2,12/13/2020,7.95,11.91,13065,United Kingdom
536557,22794,SWEETHEART WIRE MAGAZINE RACK,464,1,12/13/2020,7.95,11.91,17841,United Kingdom
536592,22794,SWEETHEART WIRE MAGAZINE RACK,464,1,12/13/2020,16.13,23.45,Visiting,United Kingdom
536526,21135,VICTORIAN  METAL POSTCARD SPRING,3019,16,12/13/2020,1.69,3.09,14001,United Kingdom
536523,21259,VICTORIAN SEWING BOX SMALL ,1339,2,12/13/2020,5.95,9.09,12868,United Kingdom
536460,21259,VICTORIAN SEWING BOX SMALL ,1339,2,12/13/2020,5.95,9.09,14849,United Kingdom
536557,21259,VICTORIAN SEWING BOX SMALL ,1339,4,12/13/2020,5.95,9.09,17841,United Kingdom
536557,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,5201,1,12/13/2020,1.25,2.47,17841,United Kingdom
536381,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,5201,6,12/13/2020,1.25,2.47,15311,United Kingdom
536582,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,5201,12,12/13/2020,1.25,2.47,12947,United Kingdom
536597,21380,WOODEN HAPPY BIRTHDAY GARLAND,2278,1,12/13/2020,2.95,4.86,18011,United Kingdom
536544,20719,WOODLAND CHARLOTTE BAG,13476,2,12/13/2020,1.66,3.05,Visiting,United Kingdom
536592,46776,WOVEN BERRIES CUSHION COVER ,172,1,12/13/2020,4.21,6.64,Visiting,United Kingdom
536846,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/14/2020,2.1,3.67,14573,United Kingdom
536833,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,6,12/14/2020,2.1,3.67,18239,United Kingdom
536637,21098,CHRISTMAS TOILET ROLL,3861,1,12/14/2020,1.25,2.47,18041,United Kingdom
536801,21098,CHRISTMAS TOILET ROLL,3861,12,12/14/2020,1.25,2.47,Visiting,United Kingdom
536799,21098,CHRISTMAS TOILET ROLL,3861,6,12/14/2020,1.25,2.47,17228,United Kingdom
536693,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,1.85,3.31,17850,United Kingdom
536789,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,1.85,3.31,17850,United Kingdom
536601,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,1.85,3.31,17850,United Kingdom
536603,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,1.85,3.31,17850,United Kingdom
536610,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,1.85,3.31,17850,United Kingdom
536611,22633,HAND WARMER UNION JACK,5091,12,12/14/2020,2.1,3.67,15752,United Kingdom
536614,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,1.85,3.31,17850,United Kingdom
536629,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,1.85,3.31,17850,United Kingdom
536631,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,1.85,3.31,17850,United Kingdom
536637,22633,HAND WARMER UNION JACK,5091,2,12/14/2020,2.1,3.67,18041,United Kingdom
536637,22633,HAND WARMER UNION JACK,5091,1,12/14/2020,2.1,3.67,18041,United Kingdom
536637,22633,HAND WARMER UNION JACK,5091,1,12/14/2020,2.1,3.67,18041,United Kingdom
536640,22633,HAND WARMER UNION JACK,5091,1,12/14/2020,2.1,3.67,Visiting,United Kingdom
536663,22633,HAND WARMER UNION JACK,5091,24,12/14/2020,2.1,3.67,16546,United Kingdom
536681,22633,HAND WARMER UNION JACK,5091,2,12/14/2020,2.1,3.67,17287,United Kingdom
536688,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,1.85,3.31,17850,United Kingdom
536747,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,2.1,3.67,17802,United Kingdom
536749,22633,HAND WARMER UNION JACK,5091,2,12/14/2020,2.1,3.67,17976,United Kingdom
536751,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,1.85,3.31,17850,United Kingdom
536753,22633,HAND WARMER UNION JACK,5091,6,12/14/2020,1.85,3.31,17850,United Kingdom
536754,22633,HAND WARMER UNION JACK,5091,4,12/14/2020,2.1,3.67,14449,United Kingdom
536791,22633,HAND WARMER UNION JACK,5091,12,12/14/2020,1.85,3.31,17850,United Kingdom
536797,22633,HAND WARMER UNION JACK,5091,12,12/14/2020,2.1,3.67,16770,United Kingdom
536836,22633,HAND WARMER UNION JACK,5091,4,12/14/2020,2.1,3.67,18168,United Kingdom
536837,22633,HAND WARMER UNION JACK,5091,4,12/14/2020,2.1,3.67,14395,United Kingdom
536643,22663,JUMBO BAG DOLLY GIRL DESIGN,3520,2,12/14/2020,1.95,3.45,14390,United Kingdom
536759,21781,MA CAMPAGNE CUTLERY BOX,255,1,12/14/2020,14.95,21.78,16781,United Kingdom
536813,22089,PAPER BUNTING VINTAGE PAISLEY,1537,6,12/14/2020,2.95,4.86,15646,United Kingdom
536833,21364,PEACE SMALL WOOD LETTERS,261,2,12/14/2020,6.75,10.22,18239,United Kingdom
536605,21364,PEACE SMALL WOOD LETTERS,261,2,12/14/2020,6.75,10.22,13715,United Kingdom
536674,21364,PEACE SMALL WOOD LETTERS,261,1,12/14/2020,6.75,10.22,15923,United Kingdom
536639,22637,PIGGY BANK RETROSPOT ,2903,6,12/14/2020,2.55,4.3,15111,United Kingdom
536638,22637,PIGGY BANK RETROSPOT ,2903,6,12/14/2020,2.55,4.3,16244,United Kingdom
536837,21486,PINK HEART DOTS HOT WATER BOTTLE,41,3,12/14/2020,3.75,5.99,14395,United Kingdom
536756,21488,RED WHITE SCARF  HOT WATER BOTTLE,116,1,12/14/2020,3.95,6.27,Visiting,United Kingdom
536611,21272,SALLE DE BAIN HOOK,788,12,12/14/2020,1.25,2.47,15752,United Kingdom
536796,21577,SAVE THE PLANET COTTON TOTE BAG,986,2,12/14/2020,2.25,3.88,15574,United Kingdom
536845,22619,SET OF 6 SOLDIER SKITTLES,2779,2,12/14/2020,3.75,5.99,17961,United Kingdom
536613,22619,SET OF 6 SOLDIER SKITTLES,2779,8,12/14/2020,3.75,5.99,17855,United Kingdom
536796,22619,SET OF 6 SOLDIER SKITTLES,2779,1,12/14/2020,3.75,5.99,15574,United Kingdom
536836,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,20,12/14/2020,1.25,2.47,18168,United Kingdom
536761,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,12,12/14/2020,1.25,2.47,13491,United Kingdom
536762,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,12,12/14/2020,1.25,2.47,16186,United Kingdom
536746,22795,SWEETHEART RECIPE BOOK STAND,1275,4,12/14/2020,6.75,10.22,16510,United Kingdom
536846,22794,SWEETHEART WIRE MAGAZINE RACK,464,2,12/14/2020,7.95,11.91,14573,United Kingdom
536796,21135,VICTORIAN  METAL POSTCARD SPRING,3019,8,12/14/2020,1.69,3.09,15574,United Kingdom
536808,21259,VICTORIAN SEWING BOX SMALL ,1339,2,12/14/2020,5.95,9.09,17659,United Kingdom
536746,21259,VICTORIAN SEWING BOX SMALL ,1339,2,12/14/2020,5.95,9.09,16510,United Kingdom
536778,21259,VICTORIAN SEWING BOX SMALL ,1339,2,12/14/2020,5.95,9.09,13138,United Kingdom
536623,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,5201,12,12/14/2020,1.25,2.47,15601,United Kingdom
536782,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,5201,12,12/14/2020,1.25,2.47,17567,United Kingdom
536638,21380,WOODEN HAPPY BIRTHDAY GARLAND,2278,6,12/14/2020,2.95,4.86,16244,United Kingdom
536796,20719,WOODLAND CHARLOTTE BAG,13476,1,12/14/2020,0.85,1.9,15574,United Kingdom
536783,20719,WOODLAND CHARLOTTE BAG,13476,100,12/14/2020,0.72,1.72,15061,United Kingdom
536796,20719,WOODLAND CHARLOTTE BAG,13476,1,12/14/2020,0.85,1.9,15574,United Kingdom
536784,20719,WOODLAND CHARLOTTE BAG,13476,30,12/14/2020,0.72,1.72,15061,United Kingdom
536975,84559,3D SHEET OF DOG STICKERS,603,12,12/15/2020,0.85,1.9,14911,EIRE
536876,84559,3D SHEET OF DOG STICKERS,603,2,12/15/2020,1.69,3.09,Visiting,United Kingdom
536865,84559,3D SHEET OF DOG STICKERS,603,1,12/15/2020,1.69,3.09,Visiting,United Kingdom
536876,85131,BEADED CRYSTAL HEART GREEN ON STICK,629,3,12/15/2020,0.85,1.9,Visiting,United Kingdom
536876,84661,BLACK SQUARE TABLE CLOCK,258,1,12/15/2020,5.06,7.84,Visiting,United Kingdom
537025,90010,BLACK/WHITE GLASS/SILVER BRACELET,92,1,12/15/2020,8.95,13.32,Visiting,United Kingdom
536876,84673,BLUE FLY SWAT,355,1,12/15/2020,1.28,2.51,Visiting,United Kingdom
536960,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,6,12/15/2020,2.1,3.67,16477,United Kingdom
536862,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/15/2020,4.21,6.64,Visiting,United Kingdom
536989,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/15/2020,2.1,3.67,17238,United Kingdom
536876,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/15/2020,4.21,6.64,Visiting,United Kingdom
536865,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/15/2020,4.21,6.64,Visiting,United Kingdom
536976,21098,CHRISTMAS TOILET ROLL,3861,10,12/15/2020,1.25,2.47,14723,United Kingdom
536947,21098,CHRISTMAS TOILET ROLL,3861,12,12/15/2020,1.25,2.47,13013,United Kingdom
536876,21098,CHRISTMAS TOILET ROLL,3861,17,12/15/2020,2.51,4.24,Visiting,United Kingdom
536982,21098,CHRISTMAS TOILET ROLL,3861,31,12/15/2020,3.36,5.44,Visiting,United Kingdom
536988,21098,CHRISTMAS TOILET ROLL,3861,1,12/15/2020,1.25,2.47,17238,United Kingdom
536874,21098,CHRISTMAS TOILET ROLL,3861,1,12/15/2020,1.25,2.47,16891,United Kingdom
536876,84536,FAIRY CAKES NOTEBOOK A7 SIZE,2209,3,12/15/2020,0.85,1.9,Visiting,United Kingdom
536975,84849,FAIRY SOAP SOAP HOLDER,341,12,12/15/2020,1.69,3.09,14911,EIRE
536876,21263,GREEN GOOSE FEATHER TREE 60CM,266,1,12/15/2020,5.91,9.04,Visiting,United Kingdom
536976,22633,HAND WARMER UNION JACK,5091,5,12/15/2020,2.1,3.67,14723,United Kingdom
537034,22633,HAND WARMER UNION JACK,5091,96,12/15/2020,1.85,3.31,13081,United Kingdom
536874,22633,HAND WARMER UNION JACK,5091,1,12/15/2020,2.1,3.67,16891,United Kingdom
536994,21781,MA CAMPAGNE CUTLERY BOX,255,1,12/15/2020,14.95,21.78,14898,United Kingdom
536874,22089,PAPER BUNTING VINTAGE PAISLEY,1537,1,12/15/2020,2.95,4.86,16891,United Kingdom
536982,22637,PIGGY BANK RETROSPOT ,2903,5,12/15/2020,5.91,9.04,Visiting,United Kingdom
536973,22637,PIGGY BANK RETROSPOT ,2903,4,12/15/2020,2.55,4.3,17787,United Kingdom
536876,21486,PINK HEART DOTS HOT WATER BOTTLE,41,2,12/15/2020,4.21,6.64,Visiting,United Kingdom
537023,46000,POLYESTER FILLER PAD 45x30cm,234,1,12/15/2020,1.45,2.75,16725,United Kingdom
536876,85135,RED DRAGONFLY HELICOPTER,321,1,12/15/2020,8.47,12.65,Visiting,United Kingdom
537036,85135,RED DRAGONFLY HELICOPTER,321,1,12/15/2020,7.95,11.91,15545,United Kingdom
536864,21488,RED WHITE SCARF  HOT WATER BOTTLE,116,1,12/15/2020,8.47,12.65,Visiting,United Kingdom
536876,21488,RED WHITE SCARF  HOT WATER BOTTLE,116,1,12/15/2020,8.47,12.65,Visiting,United Kingdom
536982,21488,RED WHITE SCARF  HOT WATER BOTTLE,116,10,12/15/2020,8.47,12.65,Visiting,United Kingdom
536876,22081,RIBBON REEL FLORA + FAUNA ,678,2,12/15/2020,3.36,5.44,Visiting,United Kingdom
536876,21272,SALLE DE BAIN HOOK,788,1,12/15/2020,2.51,4.24,Visiting,United Kingdom
536876,21577,SAVE THE PLANET COTTON TOTE BAG,986,2,12/15/2020,5.06,7.84,Visiting,United Kingdom
536876,22619,SET OF 6 SOLDIER SKITTLES,2779,1,12/15/2020,7.62,11.45,Visiting,United Kingdom
536847,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,24,12/15/2020,1.25,2.47,17135,United Kingdom
536982,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,50,12/15/2020,3.36,5.44,Visiting,United Kingdom
536876,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,7,12/15/2020,2.51,4.24,Visiting,United Kingdom
537034,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,12,12/15/2020,1.25,2.47,13081,United Kingdom
536971,21232,STRAWBERRY CERAMIC TRINKET BOX,10566,24,12/15/2020,1.25,2.47,12779,Poland
536876,90114,SUMMER DAISIES BAG CHARM,223,1,12/15/2020,2.51,4.24,Visiting,United Kingdom
536862,22795,SWEETHEART RECIPE BOOK STAND,1275,1,12/15/2020,13.57,19.84,Visiting,United Kingdom
536876,22795,SWEETHEART RECIPE BOOK STAND,1275,1,12/15/2020,13.57,19.84,Visiting,United Kingdom
536865,22795,SWEETHEART RECIPE BOOK STAND,1275,2,12/15/2020,13.57,19.84,Visiting,United Kingdom
536876,21135,VICTORIAN  METAL POSTCARD SPRING,3019,8,12/15/2020,1.69,3.09,Visiting,United Kingdom
536874,21135,VICTORIAN  METAL POSTCARD SPRING,3019,5,12/15/2020,1.69,3.09,16891,United Kingdom
536865,21259,VICTORIAN SEWING BOX SMALL ,1339,1,12/15/2020,12.72,18.64,Visiting,United Kingdom
536862,21259,VICTORIAN SEWING BOX SMALL ,1339,2,12/15/2020,12.72,18.64,Visiting,United Kingdom
536973,21259,VICTORIAN SEWING BOX SMALL ,1339,4,12/15/2020,5.95,9.09,17787,United Kingdom
536982,20719,WOODLAND CHARLOTTE BAG,13476,70,12/15/2020,2.51,4.24,Visiting,United Kingdom
536876,20719,WOODLAND CHARLOTTE BAG,13476,4,12/15/2020,1.66,3.05,Visiting,United Kingdom
536984,20719,WOODLAND CHARLOTTE BAG,13476,5,12/15/2020,0.85,1.9,17841,United Kingdom
536876,46776,WOVEN BERRIES CUSHION COVER ,172,1,12/15/2020,4.21,6.64,Visiting,United Kingdom
537044,85034,3 WHITE CHOC MORRIS BOXED CANDLES,1055,4,12/17/2020,4.25,6.7,18055,United Kingdom
537224,84881,BLUE WIRE SPIRAL CANDLE HOLDER,276,2,12/17/2020,6.35,9.66,13174,United Kingdom
537223,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,6,12/17/2020,2.1,3.67,13579,United Kingdom
537054,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/17/2020,2.1,3.67,16931,United Kingdom
537126,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/17/2020,2.1,3.67,18118,United Kingdom
537135,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,3,12/17/2020,2.1,3.67,17059,United Kingdom
537201,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,12,12/17/2020,2.1,3.67,12472,Germany
537224,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/17/2020,2.1,3.67,13174,United Kingdom
537224,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/17/2020,2.1,3.67,13174,United Kingdom
537154,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/17/2020,2.1,3.67,15808,United Kingdom
537153,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,6,12/17/2020,2.1,3.67,16718,United Kingdom
537222,21098,CHRISTMAS TOILET ROLL,3861,1,12/17/2020,1.25,2.47,14404,United Kingdom
537208,21098,CHRISTMAS TOILET ROLL,3861,1,12/17/2020,1.25,2.47,15889,United Kingdom
537126,21098,CHRISTMAS TOILET ROLL,3861,4,12/17/2020,1.25,2.47,18118,United Kingdom
537208,21098,CHRISTMAS TOILET ROLL,3861,1,12/17/2020,1.25,2.47,15889,United Kingdom
537156,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1223,2,12/17/2020,12.75,18.68,17858,United Kingdom
537196,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1223,1,12/17/2020,12.75,18.68,15426,United Kingdom
537041,35810,ENAMEL BLUE RIM COFFEE CONTAINER,301,1,12/17/2020,2.1,3.67,16033,United Kingdom
537126,84536,FAIRY CAKES NOTEBOOK A7 SIZE,2209,1,12/17/2020,0.42,1.3,18118,United Kingdom
537144,84536,FAIRY CAKES NOTEBOOK A7 SIZE,2209,1,12/17/2020,0.42,1.3,15880,United Kingdom
537135,84849,FAIRY SOAP SOAP HOLDER,341,5,12/17/2020,1.69,3.09,17059,United Kingdom
537192,22633,HAND WARMER UNION JACK,5091,2,12/17/2020,2.1,3.67,16402,United Kingdom
537199,22633,HAND WARMER UNION JACK,5091,1,12/17/2020,2.1,3.67,15894,United Kingdom
537037,22633,HAND WARMER UNION JACK,5091,24,12/17/2020,2.1,3.67,17243,United Kingdom
537050,22633,HAND WARMER UNION JACK,5091,2,12/17/2020,2.1,3.67,14800,United Kingdom
